"","UserID","AGE","FOAvgStake","LAAvgStake","FOAvgTotalWinnings","LAAvgTotalWinnings","FOTotalActiveDays","LATotalActiveDays","Gender","Recency_bet_sportsFO","Recency_bet_sportsLA","Continent"
"33930",1389513,47,1.074419,0,1.05893,0,160,0,"Male",3,0,"Europe"
"33931",1389514,29,3.211797,0,2.471172,0,160,0,"Male",16,0,"Europe"
"33932",1389516,23,1.028243,0.8333333,0.8756757,0,207,134,"Male",7,35,"Europe"
"33933",1389517,28,3.847222,4.95,2.069444,1.35,3,2,"Male",216,216,"Europe"
"33934",1389518,36,9.512899,0,3.81517,0,212,0,"Male",3,0,"Europe"
"33935",1389519,23,1.906354,5.64,1.477396,0,41,0,"Male",1,3,"Europe"
"33936",1389520,26,2.396573,0,0,0,58,0,"Female",161,0,"Asia"
"33937",1389521,41,3.3275,2.159123,3.222935,2.111053,55,58,"Male",156,152,"Europe"
"33938",1389523,30,1.609189,0,0.5148649,0,178,0,"Female",35,0,"Europe"
"33939",1389524,19,1.415,1.096179,0.5225,0.9795122,213,193,"Male",1,21,"Europe"
"33940",1389525,19,0.61575,0.6875,0.542625,0.79375,127,4,"Male",88,211,"Europe"
"33941",1389530,33,2.510222,0,3.724,0,79,0,"Male",140,0,"Europe"
"33942",1389531,37,2.103727,3.808937,2.403395,3.728068,218,203,"Male",1,16,"Europe"
"33943",1389532,47,65,25,31.64,36.15,3,0,"Male",216,216,"Europe"
"33944",1389533,32,0.5586145,0,0.2114742,0,31,0,"Male",167,0,"Europe"
"33945",1389535,23,1.522667,1.777778,1.429333,0,164,210,"Male",55,4,"Europe"
"33946",1389537,26,39.56333,133.65,39.79667,247.25,184,0,"Female",29,34,"Europe"
"33947",1389538,20,1.538663,1.441379,1.168173,1.324955,162,106,"Male",39,93,"Asia"
"33948",1389539,20,1.834508,3.456261,1.802227,3.39966,198,207,"Male",17,7,"Europe"
"33949",1389540,54,5.592923,0,4.823692,0,43,0,"Male",171,0,"Europe"
"33950",1389542,36,0.7805,2,0.6805,0,112,0,"Male",100,174,"Europe"
"33951",1389543,34,6.652542,0,0,0,216,0,"Male",3,0,"Europe"
"33952",1389544,34,54.92618,0,44.18857,0,212,0,"Male",7,0,"Europe"
"33953",1389546,18,5.833333,7.87169,4.166667,6.280141,5,187,"Male",209,24,"Europe"
"33954",1389547,47,79.0291,65.52643,89.98402,67.79429,213,195,"Male",1,2,"Europe"
"33955",1389552,24,5,0,0,0,0,0,"Female",219,0,"Europe"
"33956",1389553,27,7.298601,9.996072,6.709406,9.588331,201,208,"Male",18,11,"Europe"
"33957",1389554,38,5.263158,5.388889,0.4473684,3.333333,99,97,"Male",119,122,"Europe"
"33958",1389556,31,12.3,0,12.361,0,169,0,"Male",50,0,"Europe"
"33959",1389558,19,2.418495,0,0,0,45,0,"Male",174,0,"Asia"
"33960",1389559,23,1.343158,0,0.8063158,0,201,0,"Male",7,0,"Europe"
"33961",1389560,26,66.51656,0,63.46156,0,48,0,"Male",171,0,"Europe"
