"","UserID","Gender","Poker_Sell","Poker_Buy","Profit_Poker","Recency_Poker","Continent"
"1414",1375907,"Male",5.23,4.18,1.05,213,"Europe"
"1415",1375925,"Male",500.57,320.72,179.85,0,"Europe"
"1416",1375945,"Male",6.82,0.01,6.81,217,"Europe"
"1417",1375998,"Male",6.7,6.7,0,0,"Europe"
"1418",1376005,"Male",2320.11,1327.5,992.61,0,"Europe"
"1419",1376138,"Female",528.34,186.36,341.98,222,"Europe"
"1420",1376316,"Male",57.66,35.22,22.44,45,"Asia"
"1421",1376332,"Male",57.52,56.19,1.33000000000001,165,"Europe"
"1422",1376364,"Female",12272.05,10067.32,2204.73,104,"Europe"
"1423",1376396,"Male",13801.72,13850.35,-48.630000000001,0,"Europe"
"1424",1376405,"Male",30.13,30.13,0,222,"Europe"
"1425",1376434,"Male",14.52,20.39,-5.87,220,"Europe"
"1426",1376437,"Male",471.05,247.25,223.8,59,"Europe"
"1427",1376461,"Male",19.19,0.38,18.81,221,"Europe"
"1428",1376486,"Male",894.86,848.32,46.54,18,"Europe"
"1429",1376490,"Male",52782.26,48463.26,4319,39,"Europe"
"1430",1376603,"Male",5.77,5.77,0,222,"Asia"
"1431",1376624,"Male",332.59,317.45,15.14,178,"Europe"
"1432",1376643,"Male",2308.93,978.73,1330.2,0,"Europe"
"1433",1376662,"Male",126.34,68.84,57.5,222,"Europe"
"1434",1376719,"Male",76.56,91.14,-14.58,16,"Europe"
"1435",1376757,"Male",2156.12,1783.15,372.97,0,"Europe"
"1436",1376868,"Male",8.92,0.49,8.43,28,"Europe"
"1437",1376884,"Male",191.36,157.58,33.78,38,"Europe"
"1438",1376950,"Male",63.01,36.32,26.69,123,"Europe"
"1439",1377081,"Male",14066.17,10213.34,3852.83,50,"Europe"
"1440",1377097,"Male",66,27.68,38.32,1,"Europe"
"1441",1377183,"Male",47.05,44.42,2.63,79,"Europe"
"1442",1377291,"Male",609.49,568.96,40.53,221,"Europe"
"1443",1377299,"Male",37.99,26.11,11.88,12,"Europe"
"1444",1377318,"Male",928,49.82,878.18,222,"Asia"
"1445",1377347,"Male",175.78,130.1,45.68,113,"Europe"
"1446",1377527,"Male",210.52,80.82,129.7,0,"Europe"
"1447",1377573,"Male",112.81,112.44,0.370000000000005,195,"Europe"
"1448",1377638,"Male",381.82,126.39,255.43,61,"Europe"
"1449",1377677,"Male",576.11,601.24,-25.13,194,"Europe"
"1450",1377738,"Male",460.58,15.84,444.74,222,"Asia"
"1451",1377755,"Male",1475.47,1344.55,130.92,0,"Europe"
"1452",1377826,"Male",1053.7,1091.81,-38.1099999999999,0,"Europe"
"1453",1377831,"Male",65.8,52.61,13.19,118,"Europe"
"1454",1377997,"Male",1996.51,1724.75,271.76,157,"Europe"
"1455",1378021,"Male",208.75,98.78,109.97,0,"Europe"
"1456",1378052,"Male",268.74,201.96,66.78,47,"Europe"
"1457",1378077,"Male",2826.3,2734.03,92.27,2,"Europe"
"1458",1378156,"Male",1,0.24,0.76,203,"Europe"
"1459",1378228,"Male",8522.2,6965.23,1556.97,0,"Europe"
"1460",1378298,"Male",565,570.56,-5.55999999999995,2,"Europe"
"1461",1378432,"Male",758.14,298.08,460.06,151,"Europe"
"1462",1378501,"Male",536.56,149.44,387.12,114,"Europe"
"1463",1378517,"Male",360,241.12,118.88,211,"Europe"
"1464",1378538,"Male",21.6,99.39,-77.79,104,"Europe"
"1465",1378551,"Male",1.29,1.29,0,197,"Europe"
"1466",1378583,"Male",83.75,13.92,69.83,221,"Europe"
"1467",1378606,"Male",2334.2,2466.03,-131.83,0,"Europe"
"1468",1378695,"Male",1340.85,1110.57,230.28,25,"Europe"
"1469",1378727,"Male",2289.13,1266.4,1022.73,154,"Europe"
"1470",1378736,"Male",10,8.95,1.05,218,"Europe"
"1471",1378799,"Male",512.66,367.22,145.44,211,"Europe"
"1472",1378807,"Male",165.78,27.19,138.59,165,"Europe"
"1473",1378851,"Male",1111.41,58.87,1052.54,89,"Asia"
"1474",1378886,"Male",1218.87,1060.16,158.71,0,"Europe"
